ENG_NAME,year,ndvi_all,ndvi_crop,rain_gs,drought_class,drought_pixel_rate,median,cropland_pct
Liuzhite,2008,0.6112534906089879,0.5652008628423703,1177.8078833624695,,,,2.27228048698804
Panzhou,2008,0.6060434468386752,0.5449879797979797,1114.0173902147203,,,,0.0864725450880446
Shuicheng,2008,0.6397740747660488,0.5874473188962359,1120.60522722192,,,,1.921523088068112
Zhongshan,2008,0.5804364196917643,0.5380681649127917,1076.1542736716744,,,,3.186154509638887
Guanlingbuyizumiaozu,2008,0.5902168789787897,0.5487139747708795,1225.2768739849764,,,,18.30559404058004
Pingba,2008,0.5724318769785935,0.5289976257785591,1076.22153197564,,,,23.04381036544468
Puding,2008,0.5954063759201427,0.5280480021683375,1137.7947923187455,,,,9.911927761216717
Xixiu,2008,0.5743358757098246,0.5402489263435565,1115.6470752658674,,,,21.52884621920908
Zhenningbuyizuandmiaozu,2008,0.6231153439936842,0.5496969540401554,1221.966210012867,,,,5.147267131763767
Ziyunmiaozuandbuyizu,2008,0.5983721892640144,0.5115470017411923,1196.7090631171495,,,,1.5019892158423918
Dafang,2008,0.6621892318050285,0.6036861018656668,972.0500635276892,,,,18.02780994513717
Hezhang,2008,0.6463425389338461,0.5753731246923709,929.8008875713784,,,,5.124168693188555
Jinsha,2008,0.6630688255601713,0.5764200081823095,931.0952359712426,,,,1.431018253961164
Nayong,2008,0.6479575832891602,0.5964553683283765,1156.2925591007609,,,,6.898442444125343
Qixingguan,2008,0.6629131829119638,0.6115414358347537,868.1037257892336,,,,9.75842044134727
Qianxi,2008,0.6119818571084344,0.5691201675371798,1042.1439608100125,,,,9.388543507179223
Weiningyizuhuizumiaozu,2008,0.5744590249808266,0.5475691529187473,859.6930682714199,,,,34.22099558416516
Zhijin,2008,0.6326717178953957,0.5853775347093041,1112.4901233198957,,,,3.332235401204219
Guanshanhu,2008,0.5548787371265043,0.5349365390125109,1054.4246114148425,,,,0.8585294211551363
Huaxi,2008,0.5715774622392784,0.5440133294330185,1085.2625696096354,,,,12.60055417198841
Kaiyang,2008,0.6583257469293495,0.5854358687683286,987.443891920672,,,,0.3329483995264734
Nanming,2008,0.527977744394258,0.5668979773109092,1052.57774812516,,,,2.23661764027848
Qingzhen,2008,0.6019811357947029,0.521498718604919,1048.1401429512457,,,,3.4670192448949595
Wudang,2008,0.6653046040619488,0.6046559523809524,1043.180651253003,,,,0.1097375193295826
Xifeng,2008,0.6338194158452926,0.5801572222222222,1021.9697387999288,,,,0.3608225055137449
Xiuwen,2008,0.6335277319455561,0.5536716295609151,1042.247236916416,,,,0.2790995482418099
Yunyan,2008,0.4809279820299233,0.541229094728361,1058.9019775141146,,,,1.6371877072739325
Baiyun,2008,0.5677611575597586,0.5238520833333333,1080.398328717006,,,,0.463004993191103
Bozhou,2008,0.6334416655825948,0.5968885179177317,932.6600792079956,,,,0.3291591893929039
Chishui,2008,0.7070928097250052,,802.7555219101508,,,,0.0
Daozhengelaozumiaozu,2008,0.6441809602500259,0.6008253706722522,801.0972591330528,,,,0.362037708402099
Fenggang,2008,0.6149845473783248,0.5263,834.0426554391174,,,,0.0132555880100867
Huichuan,2008,0.642735270935849,0.5875729166666668,847.9748971138358,,,,0.0657557984365592
Meitan,2008,0.6247331271368545,0.559073132183908,890.3677606168301,,,,0.1738245866094767
Renhuai,2008,0.6553775023590513,0.6207003257876618,785.7264031222404,,,,0.845914833623062
Suiyang,2008,0.6357183459175335,0.5617435971557683,788.6880849375326,,,,0.499793049936647
Tongzi,2008,0.6634519464587473,0.5861599051008304,740.3159377445415,,,,0.4280443029668578
Wuchuangelaozumiaozu,2008,0.6148443054986266,0.5577865625121929,795.5652283505342,,,,0.3173505550547649
Xishui,2008,0.6587222359305608,0.6005936461388074,750.4125485966881,,,,0.1542982328473391
Yuqing,2008,0.6515164873358458,0.5647422793966966,903.3829783524204,,,,0.1213940636677859
Zhengan,2008,0.6407059067393505,0.5683482023578339,755.5406685270082,,,,0.5374867708657205
Honghuagang,2008,0.5824105207280381,,938.7842491113848,,,,0.0
Bijiang,2008,0.65940802951052,0.5439173796791446,931.5759575949484,,,,0.1752654670805311
Dejiang,2008,0.6080973184704553,0.5360363145358302,805.8682200050774,,,,0.282678600620447
Jiangkou,2008,0.6248892471448508,,844.6931930155329,,,,0.0
Shiqian,2008,0.6493989185752335,0.5850354166666667,813.7040135985758,,,,0.0203202837975991
Sinan,2008,0.6197628889090917,0.5325980952380952,799.8111349025428,,,,0.0477461813002081
Songtaomiaozu,2008,0.6298073772437482,0.5588631380557242,927.572739233868,,,,0.106202726155739
Wanshan,2008,0.6507440241054988,0.5999145833333335,923.82051090338,,,,0.0593635528737197
Yanhetujiazu,2008,0.6025668039747917,0.5442750471057233,848.8092226501162,,,,0.8710159395916927
Yinjiangtujiazuandmiaozu,2008,0.6439696474530163,0.592677380952381,831.6339758127494,,,,0.0253834013459175
Yupingdongzu,2008,0.5959891537551054,0.5322807291666667,881.0759794747414,,,,0.1911698281533182
Cengong,2008,0.6421681832685338,,819.7399256083385,,,,0.0
Congjiang,2008,0.6150439641945442,0.5605228581814117,1215.8143006052658,,,,0.0677082795905818
Danzhai,2008,0.5999582425193715,0.5644237275669315,1146.7570210197089,,,,1.3763281930347002
Huangping,2008,0.6257008748716542,0.5473595405155381,924.123758306861,,,,1.1529161098511465
Jianhe,2008,0.6523784795658049,0.5717020833333333,903.9121660869772,,,,0.0114101617558225
Jinping,2008,0.6435978982136078,0.5700956157340505,900.7789389920604,,,,0.6768634021617014
Kaili,2008,0.6102436953604521,0.56537512345679,1064.1012009399417,,,,0.1295503872491013
Leishan,2008,0.6038866941130371,,1114.28031480354,,,,0.0
Liping,2008,0.6289443550235471,0.5623311293728959,1073.0276601874746,,,,0.0699572414605866
Majiang,2008,0.6345185408792233,0.5793085106382978,1123.8854233160166,,,,0.2342795368308867
Rongjiang,2008,0.6444970544232685,0.5758433615819211,1106.1162785028764,,,,0.1059165205740615
Sansui,2008,0.6165755572874595,0.4767729166666666,821.0726351361413,,,,0.024231712184275
Shibing,2008,0.6313509080768699,0.5770592458677686,823.5726874321725,,,,0.1800570020027731
Taijiang,2008,0.6364996912870714,,965.6514729813532,,,,0.0
Tianzhu,2008,0.6529670026704247,0.5524278145695365,874.0780156630794,,,,1.2004976853149187
Zhenyuan,2008,0.6353379940218484,0.5476916666666667,799.4408968281622,,,,0.0132085821597119
Duyun,2008,0.6231938284561224,0.5557696802408947,1196.880515069195,,,,0.7528896069997555
Dushan,2008,0.5961476300981957,0.5205731578559293,1268.1035233104897,,,,2.268073886546551
Fuquan,2008,0.6451945322387951,0.5677973181402671,1055.0990271108535,,,,1.9000415442423029
Guiding,2008,0.6650450468090493,0.5752460022530956,1109.8922380579045,,,,1.9846145338437
Huishui,2008,0.5972078827084876,0.5411882759419228,1148.8464324641147,,,,3.2161450122685062
Libo,2008,0.6289134556547784,0.5813160203725386,1335.2566446841429,,,,0.3420179137960863
Longli,2008,0.6369572098080551,0.5804293944743522,1068.7781120972145,,,,1.561627333953895
Luodian,2008,0.628609350729832,0.5487503837429073,1204.1305684942354,,,,1.42830075791035
Pingtang,2008,0.6256958433957127,0.5454561247241783,1219.4140339046037,,,,1.3923893833101004
Sandushuizu,2008,0.6387141764010495,0.5559197139249632,1184.417063069429,,,,0.9778627380074192
Wengan,2008,0.6368671356795272,0.5551896549142422,953.105369975382,,,,0.2552088108325727
Changshun,2008,0.5990982936085589,0.5404924212579649,1110.2674140621505,,,,5.319764488672762
Anlong,2008,0.5883811571477091,0.5248079906547265,1161.478834830619,,,,6.702513152252508
Ceheng,2008,0.6568375563380521,0.5857696018883279,1218.5065257280048,,,,0.6167886361640534
Puan,2008,0.6199468467104601,0.5356807963707683,1087.2698947349625,,,,2.889410324973587
Qinglong,2008,0.5936802704450972,0.5455620019760256,1138.6923051773058,,,,4.400841459366841
Wangmo,2008,0.6238525231494201,0.5726292079295947,1191.724576179981,,,,1.847908153841667
Xingren,2008,0.5759154116302031,0.5228848425203325,1159.122681347669,,,,6.603030601557847
Xingyi,2008,0.5692082960742997,0.5252930369318406,1048.142294439844,,,,4.785560651562789
Zhenfeng,2008,0.5888143706430363,0.53395595573985,1193.4838898101823,,,,10.521882137488532
Liuzhite,2009,0.5808624239000328,0.5211792996118303,929.2406472402372,,,,2.27228048698804
Panzhou,2009,0.5924583427733922,0.5430498106060606,973.48050657451,,,,0.0864725450880446
Shuicheng,2009,0.6031874635133605,0.5581981870221253,884.8355271856277,,,,1.921523088068112
Zhongshan,2009,0.5608812118758458,0.5199114939507271,786.8565647787013,,,,3.186154509638887
Guanlingbuyizumiaozu,2009,0.5741670919644387,0.5349439089740868,940.9906926067453,,,,18.30559404058004
Pingba,2009,0.5639238906305742,0.505995434892661,776.6026484741827,,,,23.04381036544468
Puding,2009,0.5754459741225932,0.4935815358939437,861.6002922508424,,,,9.911927761216717
Xixiu,2009,0.5705372943697761,0.5102209031006315,828.4495690218181,,,,21.52884621920908
Zhenningbuyizuandmiaozu,2009,0.6228083809119015,0.5321029029474983,894.2008774557335,,,,5.147267131763767
Ziyunmiaozuandbuyizu,2009,0.6249545462946421,0.5130693740911428,873.2129909367103,,,,1.5019892158423918
Dafang,2009,0.6280609971565462,0.5564405271839314,693.3252131080225,,,,18.02780994513717
Hezhang,2009,0.6240585342251619,0.5470088654922403,687.0392202851644,,,,5.124168693188555
Jinsha,2009,0.6412459449339454,0.5402469055636152,667.4372012369195,,,,1.431018253961164
Nayong,2009,0.6093626344152037,0.5584345772603866,773.2085690257967,,,,6.898442444125343
Qixingguan,2009,0.6370966135463522,0.5635086107340372,658.6054051478692,,,,9.75842044134727
Qianxi,2009,0.5865412807163761,0.5377201630918631,718.1764654771889,,,,9.388543507179223
Weiningyizuhuizumiaozu,2009,0.5485411763828651,0.5214166010595942,639.1711908238902,,,,34.22099558416516
Zhijin,2009,0.6060391502822614,0.5713872615770228,802.4840116341527,,,,3.332235401204219
Guanshanhu,2009,0.5283376104059531,0.4966706944577083,762.9205322218132,,,,0.8585294211551363
Huaxi,2009,0.5632516205194514,0.5140658545452172,776.260698994755,,,,12.60055417198841
Kaiyang,2009,0.6367778420484568,0.5350223118279571,761.445501068381,,,,0.3329483995264734
Nanming,2009,0.5169888399307059,0.5421695041691713,749.0811032214476,,,,2.23661764027848
Qingzhen,2009,0.5790860759908153,0.5018918430547771,764.895124794196,,,,3.4670192448949595
Wudang,2009,0.6446013506504097,0.5549929653679654,745.3525011724474,,,,0.1097375193295826
