ENG_NAME,year,ndvi_crop,rain_gs,drought_class,drought_pixel_rate,cropland_pct,county_id,post_2010,event_time,drought_treated,drought_post,high_agriculture,drought_post_high_agri,ndvi_baseline,high_ndvi,drought_post_high_ndvi,high_elevation,drought_post_high_elev,pop_density_2000,drought_post_high_density,net_migration,net_migration_per_1000,births,deaths,births_source,deaths_source,high_elev,high_density,urban_core,pop_density,agri_employ_ratio,agri_gdp_ratio,gdp_pc,income_rural,elev_mean,agri_machinery_power,rural_investment,CHN_NAME,high_pop_density,high_agri_employ_ratio,high_agri_gdp_ratio,high_gdp_pc,high_income_rural,high_elev_mean
Zhijin,2008,0.5853775347093041,1112.4901233198957,,,3.332235401204219,85,0,-2,1,0,1,0,0.5783823981431635,1,0,1,0,313.8075313807531,0,,21.84,13260.0,5100.0,real,real,1,1,False,355.64853556485355,0.572149968292996,0.3938924066410729,4446.0,2437.0,1507.5625056794934,3.2,92943.0,织金县,1,0,1,0,0,1
Guanshanhu,2008,0.5349365390125109,1054.4246114148425,,,0.8585294211551363,18,0,-2,1,0,0,0,0.5158036167351097,0,0,0,0,193.3871383381025,0,,28.48,2470.0,950.0,real,real,0,0,True,,,,,,1280.0163568861724,,,观山湖区,0,0,0,0,0,1
Huaxi,2008,0.5440133294330185,1085.2625696096354,,,12.60055417198841,23,0,-2,1,0,1,0,0.5290395919891179,0,0,0,0,193.3871383381025,0,,-23.04,4940.0,1900.0,real,real,0,0,True,,,0.1188228715035995,16653.0,4821.0,1219.0663960947195,,251718.0,花溪区,0,0,0,1,1,1
Kaiyang,2008,0.5854358687683286,987.443891920672,,,0.3329483995264734,31,0,-2,0,0,0,0,0.5602290902981428,0,0,0,0,207.30503455083908,0,,-3.44,5590.0,2150.0,real,real,0,0,False,212.24086870681143,0.551079692136946,0.16929867669791,13625.0,4350.0,1072.741926726541,11.2,489668.0,开阳县,0,0,0,1,1,1
Nanming,2008,0.5668979773109092,1052.57774812516,,,2.23661764027848,40,0,-2,1,0,0,0,0.5545337407400402,0,0,0,0,193.3871383381025,0,,43.92,9880.0,3800.0,real,real,0,0,True,,,0.0031185095941203,22476.0,6603.0,1137.4437385085653,,556764.0,南明区,0,0,0,1,1,1
Qingzhen,2008,0.521498718604919,1048.1401429512457,,,3.4670192448949595,49,0,-2,1,0,1,0,0.511695280829848,0,0,0,0,335.1206434316354,0,,-4.0,6500.0,2500.0,real,real,0,1,False,335.1206434316354,0.7046790803146661,0.1009911711355899,15401.0,4381.0,1281.1531232410543,16.0,406924.0,清镇市,1,1,0,1,1,1
Wudang,2008,0.6046559523809524,1043.180651253003,,,0.1097375193295826,69,0,-2,1,0,0,0,0.5798244588744589,1,0,0,0,193.3871383381025,0,,7.2,4550.0,1750.0,real,real,0,0,True,,,0.1083949831350785,25936.0,5505.0,1229.983821870034,,720408.0,乌当区,0,0,0,1,1,1
Xifeng,2008,0.5801572222222222,1021.9697387999288,,,0.3608225055137449,70,0,-2,0,0,0,0,0.5541319318181818,0,0,0,0,231.43683702989392,0,,-2.0,3250.0,1250.0,real,real,0,1,False,241.08003857280616,0.5973345373334086,0.1216667351590998,17663.0,3803.0,1103.3319564335773,11.4,202133.0,息烽县,1,1,0,1,1,1
Xiuwen,2008,0.5536716295609151,1042.247236916416,,,0.2790995482418099,74,0,-2,1,0,0,0,0.531109199134199,0,0,0,0,270.7749766573296,0,,17.76,3640.0,1400.0,real,real,0,1,False,260.2230483271375,0.6393502575198854,0.1878163998749458,12582.0,4178.0,1270.0428617010464,16.7,197788.0,修文县,1,1,0,1,1,1
Yunyan,2008,0.541229094728361,1058.9019775141146,,,1.6371877072739325,78,0,-2,1,0,0,0,0.536317225627302,0,0,0,0,193.3871383381025,0,,32.96,11440.0,4400.0,real,real,0,0,True,,,0.0007642648074732,30153.0,6642.0,1189.6217249896604,,694152.0,云岩区,0,0,0,1,1,1
Baiyun,2008,0.5238520833333333,1080.398328717006,,,0.463004993191103,1,0,-2,1,0,0,0,0.53054625,0,0,0,0,193.3871383381025,0,,8.08,3120.0,1200.0,real,real,0,0,True,,,0.035944392745768,28310.0,5928.0,1326.761683561893,,431692.0,白云区,0,0,0,1,1,1
Bozhou,2008,0.5968885179177317,932.6600792079956,,,0.3291591893929039,3,0,-2,0,0,0,0,0.56792391370366,1,0,0,0,193.3871383381025,0,,,,,,,0,0,,,,,,,,,,遵义县,0,0,0,0,0,0
Chishui,2008,0.0,802.7555219101508,,,0.0,7,0,-2,0,0,0,0,0.0,0,0,0,0,161.02165463631317,0,,-2.4,3900.0,1500.0,real,real,0,0,False,159.32023366967604,0.5398468394027032,0.1876594843756384,8461.0,3600.0,779.6689136648356,11.1,154824.0,赤水市,0,0,0,0,0,0
Daozhengelaozumiaozu,2008,0.6008253706722522,801.0972591330528,,,0.362037708402099,11,0,-2,0,0,0,0,0.5922148730712615,1,0,0,0,148.4230055658627,0,,-2.72,4420.0,1700.0,real,real,0,0,False,157.69944341372914,0.496198722051904,0.3611658962106034,4294.0,2231.0,1023.4502414594908,17.1,43398.0,道真仡佬族苗族自治县,0,0,1,0,0,0
Fenggang,2008,0.5263,834.0426554391174,,,0.0132555880100867,15,0,-2,0,0,0,0,0.5404666666666667,0,0,0,0,207.11630377057887,0,,6.64,5460.0,2100.0,real,real,0,0,False,223.0483271375465,0.4504961760713908,0.3976748721007593,4119.0,2856.0,866.3270212753873,20.0,67845.0,凤冈县,1,0,1,0,0,0
Huichuan,2008,0.5875729166666668,847.9748971138358,,,0.0657557984365592,24,0,-2,0,0,0,0,0.5739479166666668,1,0,0,0,193.3871383381025,0,,6.64,5460.0,2100.0,real,real,0,0,True,,,0.046971784930163,22540.0,4654.0,1067.1800652055215,,342260.0,汇川区,0,0,0,1,1,1
Meitan,2008,0.559073132183908,890.3677606168301,,,0.1738245866094767,39,0,-2,0,0,0,0,0.5481515151515151,0,0,0,0,249.32249322493223,0,,6.16,6240.0,2400.0,real,real,0,1,False,260.1626016260163,0.6637590977276515,0.3377563844165698,4298.0,3638.0,950.684546270599,21.2,59845.0,湄潭县,1,1,1,0,0,0
Renhuai,2008,0.6207003257876618,785.7264031222404,,,0.845914833623062,51,0,-2,1,0,0,0,0.583264056773052,1,0,0,0,313.19910514541385,0,,4.88,8320.0,3200.0,real,real,0,1,False,357.9418344519016,0.5585078742404355,0.0824844434997935,21315.0,3688.0,936.6090628132948,30.3,245763.0,仁怀市,1,0,0,1,0,0
