年份,省份,城市,区县,区县代码,行政区域土地面积_平方公里,乡及镇个数_个,乡个数_个,镇个数_个,街道办事处个数_个,村民委员会个数_个,年末总户数_户,乡村户数_户,年末总人口_万人,乡村人口_万人,户籍人口数_万人,年末单位从业人员_人,城镇单位在岗职工人数_人,乡村从业人员数_人,农林牧渔业从业人员数_人,年末第二产业单位从业人员_人,年末第三产业单位从业人员_人,农业机械总动力_万千瓦特,固定电话用户_户,移动电话用户数_户,宽带接入用户数_户,地区生产总值_万元,第一产业增加值_万元,第二产业增加值_万元,工业增加值_万元,第三产业增加值_万元,农业增加值_万元,牧业增加值_万元,人均地区生产总值_元/人,城镇单位在岗职工平均工资_元,城镇居民人均可支配收入_元,农村居民人均可支配收入_元,地方财政一般预算收入_万元,各项税收_万元,地方财政一般预算支出_万元,城乡居民储蓄存款余额_万元,年末金融机构各项贷款余额_万元,出口额_美元,实际利用外资金额_美元,农作物总播种面积_千公顷,常用耕地面积_公顷,机收面积_公顷,设施农业占地面积_公顷,农用机械总动力_千万瓦,粮食总产量_吨,棉花产量_吨,油料产量_吨,肉类总产量_吨,农林牧渔业总产值_万元,规模以上工业企业数_个,规模以上工业总产值_万元,城镇固定资产投资完成额_万元,全社会固定资产投资_万元,社会消费品零售总额_万元,房地产开发投资_亿元,普通小学学校数_个,普通中学学校数_个,普通小学专任教师数_人,普通中学专任教师数_人,普通小学在校生数_人,普通中学在校学生数_人,中等职业教育学校在校学生数_人,医院、卫生院床位数_床,医院和卫生院卫生人员数_卫生技术人员_人,医院和卫生院卫生人员数_执业医师_人,各种社会福利收养性单位数_个,各种社会福利收养性单位床位数_床,全社会用电量_万千瓦时,城乡居民生活用电量_万千瓦时,废气中氮氧化物排放量_吨,废气中烟尘排放量_吨,工业废气中二氧化硫排放量_吨,艺术表演场馆数_剧场、影剧院_个,公共图书馆总藏量_千册,体育场馆机构数_个
2000,贵州省,贵阳市,南明区,520102,,,,,,,,,49,,48.66,,,16500,,,,,,,,487869,4479,245596,,237794,,,10153,,6275,3156,16500,,15500,,,,,,270,,,,,,,2745,6500,,,20281,,288500,,38,,1605,,25793,,,,,,,,,,,,,,,
2001,贵州省,贵阳市,南明区,520102,,,,,,,,,49,,49.2,,,17400,,,,,,,,565875,4640,281174,,280061,,,11565,,,3378,23500,,22500,,,,,,250,,,,,,,2943,6600,,,59259,,326000,2.89,35,,1873,,24851,,,,,,,,,,,,,,,
2002,贵州省,贵阳市,南明区,520102,,,,,,,,,50,,50.07,,,17700,,,,,,,,642863,4863,312722,,325278,,,12951,,,3621,26100,,31800,,,,,,210,,,,,,,3260,7000,,,195935,,369300,16.33,41,,1562,,26151,,,,,,,,,,,,,,,
2003,贵州省,贵阳市,南明区,520102,,,,,,,,,50,,50.33,,,18000,,,,,,,,731626,5068,353951,,372607,,,14574,,,3878,33300,,37000,,,,,,210,,,,,,,3417,7300,,,236764,,474600,18.47,41,,1876,,37110,,,,,,,,,,,,,,,
2004,贵州省,贵阳市,南明区,520102,,,,,,,,,51,,50.59,,,18200,,,,,,,,824819,5342,403974,,415503,,,16345,,,4276,42200,,47200,,,,,,210,,,,,,,3491,8300,,,281514,,552900,20.34,107,,2639,,53514,,,,,,,,,,,,,,,
2005,贵州省,贵阳市,南明区,520102,,,,,,,,,72,,50.95,,,19200,,,,,,,,965077,4550,298641,,661886,,,19009,,9765,4653,52500,,57700,,,,,,210,,,,,,,2932,7000,,,547186,,645300,26.81,87,53,2605,,61921,,,,,,,,,,,,,,,
2006,贵州省,贵阳市,南明区,520102,,,,,,,,,74,,51.29,,,19300,,,,,,,,1145965,4430,381622,,759913,,,22417,,11086,5061,62200,,72300,,,,,,210,,,,,,,2996,6900,,,680000,,736800,24.12,86,50,2543,,64825,,,,,,,,,,,,,,,
2007,贵州省,贵阳市,南明区,520102,,,,,,,,,74,,50.58,,,17700,,,,,,,,1380174,4217,451220,,924737,,,27097,,12666,5748,78800,,89200,,,,,,210,,,,10,,,1298,6400,,,718500,,880300,27.92,85,49,2584,,70004,,,,,,,,,,,,,,,
2008,贵州省,贵阳市,南明区,520102,,,,,,,,,76,,,,,17500,,,,,,,,1605254,5006,512728,,1087520,,,22476,,13817,6603,94200,,105100,,,,,,270,,,,,,,1323,4500,,,556764,,1131700,32.47,83,51,2629,,66348,,,,,,,,,,,,,,,
2009,贵州省,贵阳市,南明区,520102,,,,,,,,,81,,,,,36800,,,,,,,,1945239,15280,481884,,1448075,,,26801,,15041,6713,107100,,142700,,,,,,1740,,,,1752,,,3218,21900,,,755561,,1371000,27.45,89,61,2757,,68035,,,,,,,,,,,,,,,
2010,贵州省,贵阳市,南明区,520102,,,,,,,,,83,,,,,37400,,,,,,,,2267007,16240,468225,287600,1782542,,,27670,,16597,7531,127900,,166800,,,,,,1650,,,,5096,,,3119,25300,,,966131,,1596100,76.82,83,64,2840,,66504,,,,,,,,,,,,,,,
2011,贵州省,贵阳市,南明区,520102,,,,,,,,,84,,56.17,,,38500,,,,,,,,3016973,18167,608483,364800,2390323,,,36015,,19420,9031,186100,,207600,,,,,,1550,,,,4140,,,3082,28600,,,1476787,,1924900,,82,67,2810,,65678,,,,,,,,,,,,,,,
2012,贵州省,贵阳市,南明区,520102,,,,,,,,,85,,55.36,,,37900,,,,,,,,3755000,20900,848500,438600,2885600,,,44301,,,10259,267300,,303800,,,,,,,,,,4471,,,3270,32900,,,3014515,3014500,2276700,,82,72,2782,,59643,,,,,,,,,,,,,,,
2013,贵州省,贵阳市,南明区,520102,,,,,,,,,86,,56.02,,,41500,,,,,,,,4400700,22900,1095000,523600,3282800,,,51362,,23904,11415,335400,,375700,,,,,,,,,,2632,,,2822,36200,,,3761574,3761600,2632600,,81,68,2649,,55797,,,,,,,,,,,,,,,
2014,贵州省,贵阳市,南明区,520102,,,,,,,,,87,,56.56,,,39567,,,,,,,,5285100,33300,1173700,458100,4078100,,,60970,,25796,12722,398300,,434100,,,,,,,,,,2640,,,2857,52110,,,4337026,4337000,3027450,,82,67,2688,,56113,,,,,,,,,,,,,,,
2015,贵州省,贵阳市,南明区,520102,,,,,,,,,88,,57.86,,,39888,,,,,,,,6060500,36600,1298800,408100,4725100,,,69246,,28061,13896,435700,,507900,,,,,,,,,,,,,2805,36605,,,3860847,,3366524,,84,68,3030,,57408,,,,,,,,,,,,,,,
2016,贵州省,贵阳市,南明区,520102,,,,,,,,,100,,60.71,,,25316,,,,,,,,6540105,20300,1482900,444400,5037000,,,73646,,30207,15008,406200,,477500,,,,,,,,,,,,,767,20383,,,4482443,,3441956,,85,69,3145,,58825,,,,,,,,,,,,,,,
2017,贵州省,贵阳市,南明区,520102,,,,,,,,,101,,62.62,,,25922,,,,,,,,7316700,18800,1732000,534000,5566000,,,80605,,32895,16434,394700,,534000,,,,,,,,,,,,,,18862,,,,,3846730,,77,65,3294,,60535,,,,,,,,,,,,,,,
2018,贵州省,贵阳市,南明区,520102,,,,,,,,,102,,64.4,,,26266,,,,,,,,8003645,16150,1897516,571357,6089979,,,86857,,35740,,415798,,616521,,,,,,,,,,,,,,16240,,,,,,,75,67,3467,,63093,,,,,,,,,,,,,,,
2019,贵州省,贵阳市,南明区,520102,,,,,,,,,104,,65.68,,,28101,,,,,,,,8375900,10800,2848100,777387,5517000,,,90507,,38921,,403300,,732500,,,,,,,,,,,,,,11511,,,,,,,75,67,3577,,64837,,,,,,,,,,,,,,,
2020,贵州省,贵阳市,南明区,520102,,,,,,,,,105,,66.64,,,46200,,,,,,,,8922500,11200,3088800,843337,5822500,,,85493,,40906,,380900,,734600,,,,,,,,,,,,,,12044,,,,,,,77,69,3739,,65617,,,,,,,,,,,,,,,
2021,贵州省,贵阳市,南明区,520102,,,,,,,,,107,,66.6,,,46659,,,,,,,,9776500,12400,3247500,891900,6516600,,,92384,,44616,,408000,,726000,,,,,,,,,,,,,,13000,,,,,,,76,66,3798,,,,,,,,,,,,,,,,,
2022,贵州省,贵阳市,南明区,520102,,,,,,,,,109,,,,,,,,,,,,,10054300,12900,3371000,,6670300,,,93151,,47070,,350353,,739518,,,,,,,,,,,,,,13800,,,,,,,65,46,3807,,,,,,,,,,,,,,,,,
2023,贵州省,贵阳市,南明区,520102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,贵州省,贵阳市,云岩区,520103,,,,,,,,,52,,52.46,,,13500,,,,,,,,797500,3868,447395,,346237,,,15392,,6487,3149,18200,,19800,,,,,,370,,,,,,,1432,6100,,,26207,,594500,0.52,44,1,1906,,32626,,,,,,,,,,,,,,,
2001,贵州省,贵阳市,云岩区,520103,,,,,,,,,53,,53.07,,,13100,,,,,,,,904177,4035,490586,,409556,,,17136,,,3402,24300,,26600,,,,,,330,,,,,,,1627,6400,,,133467,,582300,8.56,44,1,1906,,31558,,,,,,,,,,,,,,,
2002,贵州省,贵阳市,云岩区,520103,,,,,,,,,55,,54.68,,,12900,,,,,,,,998941,4118,535083,,459740,,,18540,,,3632,27400,,34100,,,,,,260,,,,,,,1675,6300,,,234474,,641100,17.25,42,1,1852,,29755,,,,,,,,,,,,,,,
2003,贵州省,贵阳市,云岩区,520103,,,,,,,,,55,,54.95,,,13300,,,,,,,,1116818,3992,575488,,537338,,,20374,,,3902,36200,,40200,,,,,,250,,,,,,,1477,6200,,,382222,,657300,30.37,85,1,2326,,47512,,,,,,,,,,,,,,,
2004,贵州省,贵阳市,云岩区,520103,,,,,,,,,55,,55.23,,,14600,,,,,,,,1260950,4316,683709,,572925,,,22888,,,4293,44800,,53500,,,,,,240,,,,,,,1648,4100,,,463032,,733900,33.35,42,1,1789,,30549,,,,,,,,,,,,,,,
2005,贵州省,贵阳市,云岩区,520103,,,,,,,,,73,,55.49,,,22400,,,,,,,,1565262,1262,717528,,846472,,,28274,,10074,4669,53500,,58600,,,,,,240,,,,,,,1309,4200,,,544642,,829900,37.51,80,39,2272,,47302,,,,,,,,,,,,,,,
2006,贵州省,贵阳市,云岩区,520103,,,,,,,,,76,,55.75,,,22900,,,,,,,,1715510,1235,745845,,968430,,,30843,,11341,5048,65700,,74800,,,,,,240,,,,,,,1620,3800,,,578220,,946400,41.45,75,42,2183,,51975,,,,,,,,,,,,,,,
2007,贵州省,贵阳市,云岩区,520103,,,,,,,,,85,,60.49,,,23600,,,,,,,,1911639,1284,779544,,1130811,,,32891,,12893,5748,80600,,102600,,,,,,180,,,,5,,,1020,3500,,,590851,,1107200,43.1,75,45,2216,,55631,,,,,,,,,,,,,,,
2008,贵州省,贵阳市,云岩区,520103,,,,,,,,,88,,,,,40400,,,,,,,,2382682,1821,940797,,1440064,,,30153,,13817,6642,105700,,134500,,,,,,780,,,,928,,,2116,10700,,,694152,,1319900,44.96,91,52,2688,,67289,,,,,,,,,,,,,,,
2009,贵州省,贵阳市,云岩区,520103,,,,,,,,,92,,,,,40500,,,,,,,,2673112,1405,1093171,,1578536,,,33692,,15041,6734,125100,,156600,,,,,,730,,,,496,,,2028,10200,,,1105503,,1584000,48.21,85,53,2867,,69188,,,,,,,,,,,,,,,
2010,贵州省,贵阳市,云岩区,520103,,,,,,,,,96,,,,,51300,,,,,,,,3061217,5805,1240626,1124000,1814786,,,32587,,16597,7592,149200,,178100,,,,,,660,,,,859,,,1951,9900,,,972372,,1812800,62.17,86,52,2924,,70031,,,,,,,,,,,,,,,
2011,贵州省,贵阳市,云岩区,520103,,,,,,,,,98,,64.55,,,62700,,,,,,,,3829820,4007,1577202,1429100,2248611,,,39597,,19420,9124,205000,,223900,,,,,,570,,,,844,,,676,6000,,,1750400,,2188000,,86,55,2974,,67925,,,,,,,,,,,,,,,
2012,贵州省,贵阳市,云岩区,520103,,,,,,,,,98,,63.5,,,59700,,,,,,,,4412900,4300,1578700,1294200,2829900,,,45030,,,10356,259800,,361400,,,,,,,,,,32,,,488,6000,,,2326675,2326700,2552500,,80,54,3158,,65703,,,,,,,,,,,,,,,
2013,贵州省,贵阳市,云岩区,520103,,,,,,,,,99,,62.9,,,58600,,,,,,,,5155300,4500,1833200,1494500,3317600,,,52211,,23908,11522,301200,,353300,,,,,,,,,,102,,,545,6600,,,2869976,2870000,2933400,,77,62,2932,,63116,,,,,,,,,,,,,,,
2014,贵州省,贵阳市,云岩区,520103,,,,,,,,,99,,62.82,,,53463,,,,,,,,6159100,5200,1863000,1382100,4290900,,,62117,,25840,12839,326400,,378000,,,,,,,,,,105,,,553,8406,,,3435173,3435200,2758339,,74,64,3066,,62932,,,,,,,,,,,,,,,
2015,贵州省,贵阳市,云岩区,520103,,,,,,,,,99,,62.9,,,28513,,,,,,,,6500200,5800,1243700,587600,5250700,,,65443,,28117,14026,358800,,431600,,,,,,,,,,,,,528,5817,,,3170726,,3064515,,77,64,3092,,62365,,,,,,,,,,,,,,,
2016,贵州省,贵阳市,云岩区,520103,,,,,,,,,102,,64.57,,,31299,,,,,,,,6899366,5500,1291400,532900,5602500,,,69347,,30265,15114,327700,,469300,,,,,,,,,,,,,529,5526,,,3712920,,3416934,,72,64,3204,,62924,,,,,,,,,,,,,,,
2017,贵州省,贵阳市,云岩区,520103,,,,,,,,,104,,64.87,,,29577,,,,,,,,7519400,5800,1361600,600500,6152000,,,75523,,32959,16520,326500,,493300,,,,,,,,,,,,,,5770,,,,,3801681,,73,64,3385,,64191,,,,,,,,,,,,,,,
2018,贵州省,贵阳市,云岩区,520103,,,,,,,,,105,,66.14,,,12580,,,,,,,,8057099,4697,1355129,602287,6697273,,,80882,,35809,,334008,,510213,,,,,,,,,,,,,,4717,,,,,,,69,66,3671,,67661,,,,,,,,,,,,,,,
2019,贵州省,贵阳市,云岩区,520103,,,,,,,,,105,,67.84,,,12135,,,,,,,,8200300,1800,2601900,744123,5596600,,,83770,,38996,,337100,,555100,,,,,,,,,,,,,,1906,,,,,,,66,67,3903,,71549,,,,,,,,,,,,,,,
2020,贵州省,贵阳市,云岩区,520103,,,,,,,,,106,,69.36,,,22100,,,,,,,,8601000,1900,2558400,697250,6040700,,,81538,,40985,,330600,,513300,,,,,,,,,,,,,,2059,,,,,,,65,67,4021,,74211,,,,,,,,,,,,,,,
2021,贵州省,贵阳市,云岩区,520103,,,,,,,,,108,,69.4,,,13157,,,,,,,,9488300,2000,2817300,828900,6669100,,,88909,,44743,,339000,,532000,,,,,,,,,,,,,,2000,,,,,,,55,68,4219,,,,,,,,,,,,,,,,,
2022,贵州省,贵阳市,云岩区,520103,,,,,,,,,110,,,,,,,,,,,,,9568200,2100,2607400,,6958700,,,87983,,47159,,260038,,501039,,,,,,,,,,,,,,2200,,,,,,,48,33,4236,,,,,,,,,,,,,,,,,
2023,贵州省,贵阳市,云岩区,520103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,贵州省,贵阳市,花溪区,520111,,,,,,,,,31,,31.08,,,133200,,,,,,,,213636,39451,77268,,96917,,,6961,,,2118,7330,,12142,,,,,,,,,,91700,,,17997,58100,,,13003,,34674,0.61,134,26,1742,,32799,,,,,,,,,,,,,,,
2001,贵州省,贵阳市,花溪区,520111,,,,,,,,,31,,31.43,,,134900,,,,,,,,246124,41068,90330,,114726,,,7875,,,2245,9651,,16813,,,,,,,,,,87300,,,18222,61900,,,18920,,39157,0.6,120,30,1809,,32554,,,,,,,,,,,,,,,
2002,贵州省,贵阳市,花溪区,520111,,,,,,,,,32,,31.96,,,138300,,,,,,,,277610,43297,106222,,128091,,,8757,,,2371,10958,,21565,,,,,,,,,,53500,,,19310,63800,,,44493,,47373,0.87,117,34,1827,,32560,,,,,,,,,,,,,,,
2003,贵州省,贵阳市,花溪区,520111,,,,,,,,,32,,32.15,,,142500,,,,,,,,312964,45736,117910,,149318,,,9763,,,2518,12667,,21702,,,,,,,,,,81900,,,19775,67500,,,62231,,52003,1.34,115,39,1851,,32265,,,,,,,,,,,,,,,
2004,贵州省,贵阳市,花溪区,520111,,,,,,,,,32,,32.36,,,135600,,,,,,,,364681,51605,147361,,165715,,,11306,,,2906,15350,,25802,,,,,,,,,,85100,,,20686,73800,,,109218,,60115,2.01,117,40,1789,,32658,,,,,,,,,,,,,,,
2005,贵州省,贵阳市,花溪区,520111,,,,,,,,,35,,32.54,,,136700,,,,,,,,371238,54760,138875,,177603,,,11440,,9264,3220,18548,,31068,,,,,,,,,,86100,,,22414,80300,,,148384,,72011,2.7,121,39,1739,,33450,,,,,,,,,,,,,,,
2006,贵州省,贵阳市,花溪区,520111,,,,,,,,,36,,32.72,,,139300,,,,,,,,434970,59750,167755,,207465,,,13330,,10424,3501,22056,,37852,,,,,,,,,,84000,,,23333,86800,,,149412,,94680,2.95,116,36,1692,,33918,,,,,,,,,,,,,,,
2007,贵州省,贵阳市,花溪区,520111,,,,,,,,,37,,32.9,,,142600,,,,,,,,499331,67453,188379,,243499,,,15219,,12163,4080,28067,,45615,,,,,,,,,,83366,,,15930,102900,,,261709,,113461,2.99,115,38,1716,,33811,,,,,,,,,,,,,,,
2008,贵州省,贵阳市,花溪区,520111,,,,,,,,,38,,,,,143200,,,,,,,,593682,70543,242695,,280444,,,16653,,13501,4821,33318,,66300,,,,,,,,,,84039,,,17424,107900,,,251718,,141361,6.41,98,36,1732,,31320,,,,,,,,,,,,,,,
2009,贵州省,贵阳市,花溪区,520111,,,,,,,,,36,,,,,133900,,,,,,,,662418,68098,254087,,340233,,,18910,,14791,5318,36922,,79625,,,,,,,,,,80815,,,15212,104500,,,346397,,160524,2.28,87,33,1615,,27752,,,,,,,,,,,,,,,
2010,贵州省,贵阳市,花溪区,520111,,,,,,,,,36,,,,,133800,,,,,,,,795911,71262,294096,169300,430553,,,22158,,16300,5956,43654,,97375,,,,,,,,,,77629,,,15237,108900,,,538215,,188080,5.93,85,33,1498,,25858,,,,,,,,,,,,,,,
2011,贵州省,贵阳市,花溪区,520111,,,,,,,,,36,,32.59,,,133200,,,,,,,,987869,79124,392352,236200,516393,,,27274,,19318,7508,65184,,137362,,,,,,,,,,49277,,,15208,120500,,,1129330,,225696,,81,37,1530,,24942,,,,,,,,,,,,,,,
2012,贵州省,贵阳市,花溪区,520111,,,,,,,,,37,,31.2,,,118600,,,,,,,,1195300,91900,469900,281700,633500,,,32702,,,8665,89520,,166426,,,,,,,,,,53922,,,15900,142100,,,1770789,1770800,266305,,81,38,1552,,24580,,,,,,,,,,,,,,,
2013,贵州省,贵阳市,花溪区,520111,,,,,,,,,63,,49.03,,,143000,,,,,,,,2751600,113200,1428000,1104300,1210400,,,43969,,22608,10034,231656,,445995,,,,,,,,,,49777,,,17590,175000,,,3173122,3173100,1029398,,102,58,2491,,45741,,,,,,,,,,,,,,,
2014,贵州省,贵阳市,花溪区,520111,,,,,,,,,63,,49.29,,,149608,,,,,,,,3625200,148800,1968400,1562400,1508000,,,57351,,24374,11327,294655,,519977,,,,,,,,,,45888,,,17651,231568,,,3859756,3859800,1876264,,96,52,2505,,46943,,,,,,,,,,,,,,,
2015,贵州省,贵阳市,花溪区,520111,,,,,,,,,64,,50.27,,,148682,,,,,,,,4949700,176200,2950100,2425200,1823400,,,77635,,26532,12414,338920,,567863,,,,,,,,,,45520,,,17683,176221,,,3607874,,2086406,,93,54,2568,,48714,,,,,,,,,,,,,,,
2016,贵州省,贵阳市,花溪区,520111,,,,,,,,,90,,50.49,,,150484,,,,,,,,5369053,187100,3191800,2586900,1990100,,,82997,,28874,13463,375196,,605316,,,,,,,,,,44608,,,13103,198750,,,4372743,,2357638,,89,56,2689,,51418,,,,,,,,,,,,,,,
2017,贵州省,贵阳市,花溪区,520111,,,,,,,,,93,,51.04,,,158790,,,,,,,,6022800,201000,3572400,2877300,2249400,,,91313,,31559,14782,418885,,773651,,,,,,,,,,,,,,213389,,,,,2628767,,87,57,2820,,54909,,,,,,,,,,,,,,,
2018,贵州省,贵阳市,花溪区,520111,,,,,,,,,96,,52.4,,,159669,,,,,,,,6404484,200550,3668719,2900307,2535214,,,95273,,34462,16211,415255,,804675,,,,,,,,,,,,,,213525,,,,,,,87,56,2928,,59339,,,,,,,,,,,,,,,
2019,贵州省,贵阳市,花溪区,520111,,,,,,,,,96,,53.77,,,161485,,,,,,,,6057800,158000,3432700,2969528,2467100,,,86269,,37564,17897,400300,,979000,,,,,,,,,,,,,,169067,,,,,,,87,57,2988,,63952,,,,,,,,,,,,,,,
2020,贵州省,贵阳市,花溪区,520111,,,,,,,,,97,,55.16,,,163700,,,,,,,,6371400,170600,3521600,2955123,2679200,,,66004,,39592,19293,372800,,849500,,,,,,,,,,,,,,182290,,,,,,,86,58,2953,,66812,,,,,,,,,,,,,,,
2021,贵州省,贵阳市,花溪区,520111,,,,,,,,,98,,55.2,,,164562,,,,,,,,7041200,188600,3930500,3400500,2922100,,,72159,,42985,21259,371000,,847000,,,,,,,,,,,,,,201000,,,,,,,85,59,3574,,,,,,,,,,,,,,,,,
2022,贵州省,贵阳市,花溪区,520111,,,,,,,,,100,,,,,,,,,,,,,7610400,199000,4186000,,3225400,,,76583,,45392,22619,346444,,1073828,,,,,,,,,,,,,,212500,,,,,,,79,52,3922,,,,,,,,,,,,,,,,,
2023,贵州省,贵阳市,花溪区,520111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,贵州省,贵阳市,乌当区,520112,,,,,,,,,30,,29.7,,,121300,,,,,,,,250182,40155,121324,,88703,,,8500,,5301,2369,9429,,13469,,,,,,,,,,78100,,,15469,64100,,,42497,,17663,0.32,119,29,1717,,29367,,,,,,,,,,,,,,,
2001,贵州省,贵阳市,乌当区,520112,,,,,,,,,30,,30.04,,,126700,,,,,,,,286981,42122,142448,,102411,,,9608,,,2491,13139,,20131,,,,,,,,,,73500,,,16079,68800,,,78680,,20355,0.89,120,30,1802,,28772,,,,,,,,,,,,,,,
2002,贵州省,贵阳市,乌当区,520112,,,,,,,,,30,,30.32,,,128700,,,,,,,,357001,45758,190203,,121040,,,11829,,,2618,14990,,27966,,,,,,,,,,45800,,,17516,72600,,,95171,,27422,1.18,125,30,1825,,29003,,,,,,,,,,,,,,,
2003,贵州省,贵阳市,乌当区,520112,,,,,,,,,31,,30.52,,,131600,,,,,,,,425741,49417,240435,,135889,,,13995,,,2804,17777,,32132,,,,,,,,,,66500,,,17335,77400,,,128166,,29987,4.12,126,34,1815,,29360,,,,,,,,,,,,,,,
2004,贵州省,贵阳市,乌当区,520112,,,,,,,,,31,,30.73,,,133100,,,,,,,,526436,56416,319241,,150779,,,17189,,,3144,24516,,41361,,,,,,,,,,64900,,,18059,85900,,,162256,,34792,4.53,116,33,1788,,31404,,,,,,,,,,,,,,,
2005,贵州省,贵阳市,乌当区,520112,,,,,,,,,33,,30.97,,,135700,,,,,,,,531830,61734,279381,,190715,,,17239,,9285,3553,32280,,52931,,,,,,,,,,65200,,,20277,94600,,,216331,,42379,8.4,112,33,1700,,32070,,,,,,,,,,,,,,,
2006,贵州省,贵阳市,乌当区,520112,,,,,,,,,35,,31.14,,,165100,,,,,,,,607002,68755,306986,,231261,,,19543,,10449,3900,39449,,60446,,,,,,,,,,61000,,,21900,102600,,,174750,,61678,10.15,87,26,1237,,22624,,,,,,,,,,,,,,,
2007,贵州省,贵阳市,乌当区,520112,,,,,,,,,33,,27.81,,,165800,,,,,,,,700451,78892,353474,,268085,,,23764,,12166,4665,50876,,78604,,,,,,,,,,58041,,,14852,119000,,,249055,,74949,11.7,84,26,1258,,22714,,,,,,,,,,,,,,,
2008,贵州省,贵阳市,乌当区,520112,,,,,,,,,35,,,,,162200,,,,,,,,779132,84454,408205,,286473,,,25936,,13586,5505,54434,,93372,,,,,,,,,,57682,,,13047,106600,,,720408,,72983,48.39,84,32,1267,,28902,,,,,,,,,,,,,,,
2009,贵州省,贵阳市,乌当区,520112,,,,,,,,,36,,,,,133600,,,,,,,,896850,69214,447169,,380467,,,29687,,14913,6092,49895,,81543,,,,,,,,,,57611,,,11375,107400,,,1773683,,90042,91.5,86,32,1554,,28751,,,,,,,,,,,,,,,
2010,贵州省,贵阳市,乌当区,520112,,,,,,,,,38,,,,,148700,,,,,,,,998910,73858,442637,254700,482415,,,27027,,16518,6829,60448,,104969,,,,,,,,,,56504,,,11479,115200,,,497940,,119580,30.81,79,33,1712,,30765,,,,,,,,,,,,,,,
2011,贵州省,贵阳市,乌当区,520112,,,,,,,,,39,,33.76,,,141500,,,,,,,,1255118,83284,591658,359900,580176,,,32609,,19332,8332,87671,,145006,,,,,,,,,,37200,,,11620,127900,,,901946,,533751,,48,17,897,,15202,,,,,,,,,,,,,,,
2012,贵州省,贵阳市,乌当区,520112,,,,,,,,,42,,35.56,,,150500,,,,,,,,1565700,91900,749700,448300,724100,,,38707,,,9607,114560,,177796,,,,,,,,,,40273,,,10786,142100,,,1361507,1361500,664080,,76,39,1972,,35823,,,,,,,,,,,,,,,
2013,贵州省,贵阳市,乌当区,520112,,,,,,,,,23,,19.75,,,79900,,,,,,,,990800,87000,501300,400800,402500,,,43078,,22607,10824,126156,,213592,,,,,,,,,,31776,,,10772,136000,,,1314721,1314700,247000,,74,35,2044,,37854,,,,,,,,,,,,,,,
2014,贵州省,贵阳市,乌当区,520112,,,,,,,,,23,,20.13,,,78222,,,,,,,,1237300,115500,596600,465600,525200,,,52992,,24435,11924,152990,,239058,,,,,,,,,,33746,,,10914,183006,,,1548985,1549000,303320,,44,15,1070,,16160,,,,,,,,,,,,,,,
2015,贵州省,贵阳市,乌当区,520112,,,,,,,,,24,,20.74,,,82750,,,,,,,,1450800,139300,689400,502500,622100,,,61247,,26410,13061,184447,,294923,,,,,,,,,,33526,,,10995,139266,,,1492344,,340932,,45,15,1143,,17252,,,,,,,,,,,,,,,
2016,贵州省,贵阳市,乌当区,520112,,,,,,,,,35,,21.04,,,90421,,,,,,,,1606858,148500,780500,552300,677800,,,66619,,28720,14197,193652,,277642,,,,,,,,,,30030,,,9476,157662,,,1874384,,387298,,45,15,1231,,18552,,,,,,,,,,,,,,,
2017,贵州省,贵阳市,乌当区,520112,,,,,,,,,35,,21.42,,,76906,,,,,,,,1808600,159900,883100,625200,765600,,,73507,,31420,15574,206937,,297899,,,,,,,,,,,,,,169653,,,,,434549,,46,15,1255,,20008,,,,,,,,,,,,,,,
2018,贵州省,贵阳市,乌当区,520112,,,,,,,,,34,,22.03,,,68663,,,,,,,,1907545,166771,877173,598776,863602,,,76059,,34285,17062,207834,,317700,,,,,,,,,,,,,,178023,,,,,,,44,15,1253,,21883,,,,,,,,,,,,,,,
2019,贵州省,贵阳市,乌当区,520112,,,,,,,,,34,,22.57,,,75143,,,,,,,,1598500,176400,746100,594089,676000,,,62662,,37302,18802,144900,,337800,,,,,,,,,,,,,,188758,,,,,,,40,16,1380,,24119,,,,,,,,,,,,,,,
2020,贵州省,贵阳市,乌当区,520112,,,,,,,,,34,,23.11,,,76900,,,,,,,,1725100,190700,814400,624574,720100,,,50746,,39428,20288,145500,,278800,,,,,,,,,,,,,,203914,,,,,,,40,16,1469,,25230,,,,,,,,,,,,,,,
2021,贵州省,贵阳市,乌当区,520112,,,,,,,,,34,,23.1,,,74315,,,,,,,,1884400,210700,908100,743100,765600,,,55457,,42847,22314,161000,,264000,,,,,,,,,,,,,,225000,,,,,,,40,16,1553,,,,,,,,,,,,,,,,,
2022,贵州省,贵阳市,乌当区,520112,,,,,,,,,35,,,,,,,,,,,,,1959000,220800,949800,,788400,,,56455,,45075,23765,161869,,262305,,,,,,,,,,,,,,236000,,,,,,,40,14,1592,,,,,,,,,,,,,,,,,
